,RJ_No,title,circle,cast,price,sales,tag,date,imageRate
28,RJ287740,寝取られ旅館【ハイレゾ192kHz/24bit】,"Hello,Sound!!",砂糖しお,1100,563,"ASMR,ビッチ,ファンタジー,寝取られ,中出し,耳舐め,ささやき",2020-05-21,0.01770791882212495
4,RJ305585,ドM女史団のドマゾ女史作品集2,ドM女史団,"砂糖しお,竹中望,水谷六花,ゆまはぴ",1210,68,"淫語,SM,変態,言葉責め,羞恥/恥辱,レイプ",2020-10-28,0.016945218198700096
106,RJ230607,耳舐め花魁娘参,黒月堂,"かなせ,紅葉美兎,小町ういら,みづきゆうか,結姫うさぎ,月屋めの,砂糖しお,ゆきかすみ,真宮みま,星海奏歌,逢坂成美",1320,404,"フェチ,ASMR,少女,ロリ,お姉さん,耳舐め",2018-08-04,0.016945218198700093
82,RJ248018,寝取られパーティ～幼馴染の恋人ヒーラーが下衆戦士の虜に～,暗黒あずまや,砂糖しお,990,994,"少女,魔法使い/魔女,寝取られ,オナニー,言葉責め,ツインテール",2019-03-29,0.016713091922005572
46,RJ272545,【ハイレゾ192kHz/24bit】サンタさんお願い!!僕をお家に帰してっ!,荘ノヴァ,砂糖しお,1100,212,"ビッチ,人外娘/モンスター娘,退廃/背徳/インモラル,中出し,監禁,耳舐め",2019-12-20,0.016713091922005572
54,RJ265302,ちっちゃい鬼っ娘は性欲旺盛,メロイック,砂糖しお,770,203,"ロリ,妖怪,人外娘/モンスター娘,中出し,フェラチオ,ツルペタ",2019-09-27,0.01648096564531105
33,RJ283424,【ハイレゾ192kHz/24bit】廃校幽霊,荘ノヴァ,砂糖しお,1100,239,"ASMR,学生,幽霊,学校/学園,中出し,耳舐め",2020-04-09,0.01624883936861653
24,RJ291228,やったー!!!先生の教育的真面目さに付け込んで放課後耳かきさせたった,でぶり,砂糖しお,770,302,"バイノーラル/ダミヘ,ASMR,お姉さん,女教師,学校/学園,耳かき,男性受け",2020-06-16,0.015917230401910065
2,RJ305671,【バイノーラル・ハイレゾ】妹が寝取られエッチを耳元報告してくれる-歩美ちゃん-,サイコすまいりんぐショウ,砂糖しお,550,170,"バイノーラル/ダミヘ,ASMR,妹,退廃/背徳/インモラル,寝取られ,中出し,輪姦,耳舐め",2020-11-07,0.015842618384401114
98,RJ239124,マネージャーのこの俺がアイドル達に犯されているだと!?～あくあのおねだり編～,ちゅぱちゅぱカンパニー,砂糖しお,550,78,"シリーズもの,メガネ,芸能人/アイドル/モデル,ラブラブ/あまあま,中出し,処女",2018-11-16,0.015320334261838443
29,RJ280332,悪堕ちヒロインに堕とされる1-ザコなお兄さんはメス〇キ怪人には勝てないの-,ドダメ屋さん,砂糖しお,1100,604,"おっぱい,バイノーラル/ダミヘ,変身ヒロイン,退廃/背徳/インモラル,手コキ,悪堕ち,洗脳,耳舐め",2020-05-16,0.014972144846796659
52,RJ267708,後輩彼女に焦らされたり搾られたり甘やかされちゃう音声,カラメル・メール,砂糖しお,440,280,"連続絶頂,バイノーラル/ダミヘ,先輩/後輩,手コキ,焦らし,ささやき",2019-10-26,0.014856081708449397
78,RJ250829,磁性体性愛情論理,ぺーるとーんれいんぼぅすたー,砂糖しお,990,462,"萌え,癒し,少女,ロボット/アンドロイド,ラブラブ/あまあま,日常/生活",2019-04-18,0.014623955431754878
42,RJ277296,雨音さんの癒やし宿～迷い込んだ貴方をとろとろに甘やかしてくれる女中さん～,rain,砂糖しお,440,173,"感動,癒し,お姉さん,黒髪",2020-02-04,0.014623955431754874
40,RJ277660,【ハイレゾ192kHz/24bit】元カレの前で今カレとSEXしちゃいました,荘ノヴァ,砂糖しお,1100,277,"ビッチ,退廃/背徳/インモラル,中出し,複数プレイ/乱交",2020-02-14,0.014623955431754874
128,RJ204932,【囁きバイノーラル】お金目当ての射精管理ですよ、おじさん♪～援交少女めぐみ様の貢ぎATM製造法～,煩悩ストラテジ,砂糖しお,770,402,"ギャル,ビッチ,年下攻め,売春/援交,男性受け",2017-08-02,0.014484679665738163
32,RJ282742,後輩ちゃんの恋愛フラグ(ミニアフターストーリー付き),からすとうさぎ,砂糖しお,550,35,"萌え,おっぱい,淫語,先輩/後輩,屋外,ラブラブ/あまあま,日常/生活,純愛",2020-04-09,0.014449860724233984
21,RJ292068,JKヒーリングリフレ部～サボり魔幽霊部員編～,USA WORKS,砂糖しお,1100,489,"癒し,バイノーラル/ダミヘ,ASMR,耳かき",2020-07-05,0.014275766016713093
