通し番号,RJナンバー,タイトル,サークル,声優,値段,販売数,ジャンル,発売日
102,RJ230607,"耳舐め花魁娘参","黒月堂","かなせ;紅葉美兎;小町ういら;みづきゆうか;結姫うさぎ;月屋めの;砂糖しお;ゆきかすみ;真宮みま;星海奏歌;逢坂成美",1320,402,"フェチ;ASMR;耳舐め;少女;ロリ;お姉さん",2018年08月04日
103,RJ229975,"【バイノーラル】お隣りのお姉さんはイタズラ好き【耳かき】","癒し庵もち猫","逢坂成美",330,1109,"癒し;バイノーラル/ダミヘ;ASMR;耳かき;お姉さん",2018年08月03日
104,RJ230274,"貢ぎマゾメイドカフェ～ゲームに負けてチップを巻き上げてもらう音声～","ミツギアイ","逢坂成美",1100,1172,"マニアック/変態;メイド",2018年07月29日
105,RJ224484,"ハニートラップランド～賭博の間～","SweetNightmare","大山チロル;逢坂成美;柚木つばめ;MOMOKA。（柚木桃香）",1100,1964,"バイノーラル/ダミヘ;色仕掛け;言葉責め;男性受け;バニーガール",2018年07月21日
106,RJ227652,"ただただ射精を応援してくれる幼馴染のお姉ちゃん。","ねこじた結社","逢坂成美",990,1274,"癒し;バイノーラル/ダミヘ;ラブラブ/あまあま;言葉責め;男性受け;お姉さん",2018年07月04日
107,RJ228235,"【催眠音声】奏音濃夢～メトロノーム～","夢音工房","逢坂成美",550,631,"癒し;催眠音声;ラブラブ/あまあま;少女;制服;黒髪",2018年06月30日
108,RJ228011,"【全編バイノーラル収録!】文芸部員2人と癒し湯けむり温泉旅行～奥手メガネっ子×大胆ギャルの恋愛強化合宿編～","ココナッツの夏！","こやまはる;逢坂成美",1100,1485,"癒し;バイノーラル/ダミヘ;ASMR;ラブコメ;耳かき",2018年06月28日
109,RJ227924,"『椿朱音の前立腺リフレクソロジー』 ～アナタのカラダ、やさしく囁きながらメスイキさせてあげる～(バイノーラル)","WHITE RIBBON","逢坂成美",1100,1494,"ASMR;言葉責め;焦らし;男性受け;アナル;お姉さん",2018年06月27日
110,RJ225743,"異世界転生したらエルフお姉さんの嫁が出来ました。","スタジオレイン","逢坂成美",1430,1061,"連続絶頂;ラブラブ/あまあま;ファンタジー;純愛;エルフ/妖精;金髪",2018年06月21日
111,RJ227275,"【女体化】おち〇ぽ中毒の風俗嬢に、堕ちたボク【催眠音声】","オナらぼ","そらまめ。;柚木つばめ;逢坂成美;一之瀬りと;竹中望",1320,2638,"癒し;催眠音声;女体化;性転換(TS);調教;言葉責め",2018年06月20日
112,RJ226533,"快楽耐性測定試験 責め好き姉妹の誘惑遊戯","加虐趣味な彼女","逢坂成美;陽向葵ゅか",1100,775,"逆転無し;バイノーラル/ダミヘ;言葉責め;逆レイプ;男性受け;お姉さん",2018年06月15日
113,RJ224695,"【立体音響】Cure Attendant-咲愛","ディーブルスト","逢坂成美",990,6200,"癒し;バイノーラル/ダミヘ;ASMR;中出し;耳舐め;お姉さん",2018年06月03日
